disease,state,year,total_notifications
COVID-19,National,2024,336521
COVID-19,ACT,2024,4630
COVID-19,NSW,2024,132476
COVID-19,NT,2024,2766
COVID-19,QLD,2024,71193
COVID-19,SA,2024,43654
COVID-19,TAS,2024,12230
COVID-19,VIC,2024,53767
COVID-19,WA,2024,15805
COVID-19,National,2025,183722
COVID-19,ACT,2025,2982
COVID-19,NSW,2025,81480
COVID-19,NT,2025,1628
COVID-19,QLD,2025,37817
COVID-19,SA,2025,11319
COVID-19,TAS,2025,2931
COVID-19,VIC,2025,33604
COVID-19,WA,2025,11961
COVID-19,National,2026,55898
COVID-19,ACT,2026,801
COVID-19,NSW,2026,26644
COVID-19,NT,2026,268
COVID-19,QLD,2026,11053
COVID-19,SA,2026,3763
COVID-19,TAS,2026,842
COVID-19,VIC,2026,9416
COVID-19,WA,2026,3111
Influenza,National,2024,363418
Influenza,ACT,2024,4795
Influenza,NSW,2024,160888
Influenza,NT,2024,3295
Influenza,QLD,2024,79197
Influenza,SA,2024,22649
Influenza,TAS,2024,4025
Influenza,VIC,2024,71648
Influenza,WA,2024,16921
Influenza,National,2025,495533
Influenza,ACT,2025,8934
Influenza,NSW,2025,184904
Influenza,NT,2025,5170
Influenza,QLD,2025,98393
Influenza,SA,2025,35644
Influenza,TAS,2025,9045
Influenza,VIC,2025,117245
Influenza,WA,2025,36198
Influenza,National,2026,60870
Influenza,ACT,2026,495
Influenza,NSW,2026,30891
Influenza,NT,2026,694
Influenza,QLD,2026,12228
Influenza,SA,2026,2492
Influenza,TAS,2026,437
Influenza,VIC,2026,8473
Influenza,WA,2026,5160
Measles,National,2025,172
Measles,ACT,2025,0
Measles,NSW,2025,34
Measles,NT,2025,1
Measles,QLD,2025,33
Measles,SA,2025,7
Measles,TAS,2025,2
Measles,VIC,2025,36
Measles,WA,2025,59
Measles,National,2026,112
Measles,ACT,2026,3
Measles,NSW,2026,53
Measles,NT,2026,0
Measles,QLD,2026,18
Measles,SA,2026,3
Measles,TAS,2026,0
Measles,VIC,2026,30
Measles,WA,2026,5
RSV,National,2024,173932
RSV,ACT,2024,2721
RSV,NSW,2024,73056
RSV,NT,2024,1692
RSV,QLD,2024,41627
RSV,SA,2024,12099
RSV,TAS,2024,2868
RSV,VIC,2024,30640
RSV,WA,2024,9229
RSV,National,2025,160875
RSV,ACT,2025,2989
RSV,NSW,2025,66422
RSV,NT,2025,770
RSV,QLD,2025,29447
RSV,SA,2025,11714
RSV,TAS,2025,2583
RSV,VIC,2025,35516
RSV,WA,2025,11434
RSV,National,2026,98784
RSV,ACT,2026,1134
RSV,NSW,2026,45254
RSV,NT,2026,846
RSV,QLD,2026,19068
RSV,SA,2026,5215
RSV,TAS,2026,1495
RSV,VIC,2026,19331
RSV,WA,2026,6441
