run_date,disease,state,year,cumulative_notifications
2024-09-24,COVID-19,ACT,2024,3809
2024-10-02,COVID-19,ACT,2024,3863
2024-10-09,COVID-19,ACT,2024,3911
2024-10-16,COVID-19,ACT,2024,3947
2024-10-23,COVID-19,ACT,2024,4012
2024-10-30,COVID-19,ACT,2024,4065
2024-11-06,COVID-19,ACT,2024,4137
2024-11-13,COVID-19,ACT,2024,4222
2024-11-20,COVID-19,ACT,2024,4306
2024-11-27,COVID-19,ACT,2024,4397
2024-12-04,COVID-19,ACT,2024,4465
2024-12-11,COVID-19,ACT,2024,4526
2024-12-18,COVID-19,ACT,2024,4590
2024-12-25,COVID-19,ACT,2024,4630
2025-01-01,COVID-19,ACT,2025,4
2025-01-02,COVID-19,ACT,2025,4
2025-01-08,COVID-19,ACT,2025,83
2025-01-15,COVID-19,ACT,2025,172
2025-01-22,COVID-19,ACT,2025,229
2025-01-29,COVID-19,ACT,2025,278
2025-02-05,COVID-19,ACT,2025,313
2025-02-12,COVID-19,ACT,2025,357
2025-02-13,COVID-19,ACT,2025,357
2025-02-19,COVID-19,ACT,2025,400
2025-02-26,COVID-19,ACT,2025,459
2025-03-05,COVID-19,ACT,2025,493
2025-03-12,COVID-19,ACT,2025,530
2025-03-19,COVID-19,ACT,2025,564
2025-03-26,COVID-19,ACT,2025,590
2025-04-02,COVID-19,ACT,2025,629
2025-04-09,COVID-19,ACT,2025,661
2025-04-16,COVID-19,ACT,2025,699
2025-04-23,COVID-19,ACT,2025,728
2025-04-30,COVID-19,ACT,2025,780
2025-05-07,COVID-19,ACT,2025,823
2025-05-14,COVID-19,ACT,2025,888
2025-05-21,COVID-19,ACT,2025,996
2025-05-28,COVID-19,ACT,2025,1077
2025-06-04,COVID-19,ACT,2025,1162
2025-06-11,COVID-19,ACT,2025,1259
2025-06-18,COVID-19,ACT,2025,1406
2025-06-25,COVID-19,ACT,2025,1570
2025-07-02,COVID-19,ACT,2025,1715
2025-07-09,COVID-19,ACT,2025,1859
2025-07-16,COVID-19,ACT,2025,1958
2025-07-23,COVID-19,ACT,2025,2038
2025-07-30,COVID-19,ACT,2025,2105
2025-08-06,COVID-19,ACT,2025,2156
2025-08-13,COVID-19,ACT,2025,2218
2025-08-20,COVID-19,ACT,2025,2283
2025-08-27,COVID-19,ACT,2025,2325
2025-09-03,COVID-19,ACT,2025,2378
2025-09-10,COVID-19,ACT,2025,2434
2025-09-17,COVID-19,ACT,2025,2478
2025-09-24,COVID-19,ACT,2025,2531
2025-10-01,COVID-19,ACT,2025,2615
2025-10-08,COVID-19,ACT,2025,2638
2025-10-15,COVID-19,ACT,2025,2658
2025-10-22,COVID-19,ACT,2025,2677
2025-10-29,COVID-19,ACT,2025,2699
2025-11-05,COVID-19,ACT,2025,2730
2025-11-12,COVID-19,ACT,2025,2765
2025-11-19,COVID-19,ACT,2025,2824
2025-11-26,COVID-19,ACT,2025,2868
2025-12-03,COVID-19,ACT,2025,2901
2025-12-10,COVID-19,ACT,2025,2915
2025-12-17,COVID-19,ACT,2025,2952
2025-12-24,COVID-19,ACT,2025,2967
2025-12-31,COVID-19,ACT,2025,2982
2026-01-01,COVID-19,ACT,2026,0
